MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.250"", Thicko=0.124"""			Time:	150.17554	Sec	11/9/2011 15:08																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
3.651123	0.01090108	0.000301383	475.14642																						
3.6811523	0.010849923	0.000312278	476.16519																						
3.7111816	0.011066283	0.000314169	480.34851																						
3.7412109	0.011144426	0.000300707	481.51266																						
3.7712402	0.011175871	0.000347163	483.93924																						
3.8012695	0.011332157	0.000326003	485.2359																						
3.8312988	0.011394109	0.000321619	486.46683																						
3.8613281	0.011442449	0.000297145	489.41702																						
3.8913574	0.01165834	0.000335497	492.98389																						
3.9213867	0.011681572	0.000342098	495.09076																						
3.951416	0.011716067	0.000338753	498.03052																						
3.9814453	0.011817442	0.000298042	498.88367																						
4.0114746	0.011849122	0.000303953	500.22781																						
4.0415039	0.012002827	0.000340454	501.94119																						
4.0715332	0.012184692	0.000347082	505.60861																						
4.1015625	0.012188446	0.000311299	506.68814																						
4.1315918	0.012264712	0.00031696	508.09137																						
4.1616211	0.012319623	0.000331888	512.67609																						
4.1916504	0.012573294	0.000353236	512.4541																						
4.2216797	0.012488347	0.000325352	515.25275																						
4.251709	0.012690392	0.000329069	517.09229																						
4.2817383	0.012850902	0.000358085	518.89758																						
4.3117676	0.012832129	0.000365584	522.87341																						
4.3417969	0.01298161	0.000346484	524.08167																						
4.3718262	0.012996629	0.000353672	527.11371																						
4.4018555	0.013134846	0.000360001	528.36255																						
4.4318848	0.013196328	0.000360252	529.49371																						
4.4619141	0.013238567	0.000342466	533.34149																						
4.4919434	0.013359888	0.000363346	534.6626																						
4.5219727	0.013516879	0.000374834	536.47058																						
4.552002	0.013519694	0.000342636	539.18066																						
4.5820313	0.013598307	0.000323962	541.39929																						
4.6120605	0.013751777	0.000356281	544.44214																						
4.6420898	0.013902666	0.000396691	545.67609																						
4.6721191	0.013880138	0.000362393	548.05542																						
4.7021484	0.013953588	0.000340237	547.55353																						
4.7321777	0.014104712	0.000358621	550.46301																						
4.762207	0.01425255	0.000382784	556.05505																						
4.7922363	0.014280944	0.000395287	556.41821																						
4.8222656	0.014386074	0.000357141	557.63263																						
4.8522949	0.014495896	0.000363732	560.92139																						
4.8823242	0.014553155	0.000383307	563.98126																						
4.9123535	0.014632236	0.000371746	564.37531																						
4.9423828	0.014721174	0.000370095	567.69189																						
4.9724121	0.014794858	0.000391126	571.28113																						
5.0024414	0.014924393	0.00041947	574.03497																						
5.0324707	0.015040786	0.000385893	575.74054																						
5.0625	0.015113532	0.000371661	575.38696																						
5.0925293	0.01515319	0.00039416	578.25446																						
5.1225586	0.015301967	0.000400231	581.29266																						
5.1525879	0.015381987	0.000393568	585.49689																						
5.1826172	0.015430563	0.000374806	583.82465																						
5.2126465	0.015462712	0.000390132	587.7265																						
5.2426758	0.015610551	0.000381873	590.38104																						
5.2727051	0.015774345	0.000410053	592.80408																						
5.3027344	0.015894962	0.000414955	594.49615																						
5.3327637	0.015917961	0.000423302	597.21936																						
5.362793	0.015983665	0.000406466	599.89325																						
5.3928223	0.016094193	0.000407089	600.61713																						
5.4228516	0.016259162	0.000408815	605.82037																						
5.4528809	0.016280515	0.000453791	607.42896																						
5.4829102	0.016417325	0.000425119	610.24432																						
5.5129395	0.016498988	0.000397447	612.13007																						
5.5429688	0.016494295	0.000459265	613.53424																						
5.572998	0.016550848	0.000419335	615.3158																						
5.6030273	0.016770964	0.00040972	618.82343																						
5.6330566	0.01683268	0.000453325	621.17822																						
5.6630859	0.016883837	0.000442992	620.91351																						
5.6931152	0.017019238	0.000438732	624.96698																						
5.7231445	0.017176228	0.000436939	627.12622																						
5.7531738	0.017117092	0.000434113	629.22473																						
5.7832031	0.01723161	0.000449388	633.36328																						
5.8132324	0.017407373	0.000454089	637.21259																						
5.8432617	0.017512267	0.000456891	638.20508																						
5.873291	0.017546292	0.000437476	640.93103																						
5.9033203	0.017574688	0.000447948	638.84326																						
5.9333496	0.017644383	0.000461381	642.31335																						
5.9633789	0.017786823	0.000464451	645.51324																						
5.9934082	0.017912604	0.000484131	647.12238																						
6.0234375	0.018052699	0.000492753	653.04224																						
6.0534668	0.0181116	0.000477187	653.77466																						
6.0834961	0.018207107	0.000451515	656.05219																						
6.1135254	0.018291585	0.000480068	659.99872																						
6.1435547	0.018360108	0.000478571	659.03528																						
6.173584	0.01839648	0.000460123	663.80371																						
6.2036133	0.018535871	0.000477872	665.79895																						
6.2336426	0.018584447	0.000482847	667.24213																						
6.2636719	0.018803388	0.000501856	668.58685																						
6.2937012	0.018825447	0.000505545	672.47974																						
6.3237305	0.018949348	0.000470414	674.4754																						
6.3537598	0.019004965	0.000471791	677.11401																						
6.3837891	0.019067854	0.00052426	680.85712																						
6.4138184	0.019211235	0.000506411	682.17615																						
6.4438477	0.019282337	0.000505205	686.10242																						
6.473877	0.019315191	0.000506377	688.32709																						
6.5039063	0.019414922	0.000542193	691.5213																						
6.5339355	0.019514184	0.0005453	693.0907																						
6.5639648	0.019480864	0.000517972	694.31366																						
6.5939941	0.019729842	0.000525456	695.80383																						
6.6240234	0.019810801	0.000524932	699.94232																						
6.6540527	0.019934937	0.000531682	704.17236																						
6.684082	0.019949956	0.000517643	708.02325																						
6.7141113	0.020036077	0.000538613	704.97144																						
6.7441406	0.020098263	0.000560862	708.73077																						
6.7741699	0.020287639	0.000544064	711.05792																						
6.8041992	0.020277781	0.000550411	714.83777																						
6.8342285	0.020336213	0.000564877	715.23419																						
6.8642578	0.020493204	0.000545265	721.13251																						
6.8942871	0.020648081	0.000549894	724.63879																						
6.9243164	0.020765178	0.000566518	727.09308																						
6.9543457	0.020799205	0.000592363	726.76855																						
6.984375	0.020859983	0.000550903	728.67456																						
7.0144043	0.020912783	0.000538009	731.92322																						
7.0444336	0.021020962	0.000580131	737.48016																						
7.0744629	0.021086669	0.000571096	738.40253																						
7.1044922	0.021164108	0.000582175	737.76123																						
7.1345215	0.021293642	0.000594244	742.04132																						
7.1645508	0.021418953	0.000598347	742.71417																						
7.1945801	0.02147316	0.000555391	746.2207																						
7.2246094	0.02150484	0.000560614	749.19855																						
7.2546387	0.021716977	0.000599087	753.19305																						
7.284668	0.021776346	0.000611847	756.39124																						
7.3146973	0.021905176	0.000604719	760.35217																						
7.3447266	0.021939203	0.000590676	758.49731																						
7.3747559	0.022015704	0.000626741	761.26849																						
7.4047852	0.022138197	0.000610442	764.47211																						
7.4348145	0.022198271	0.000606472	767.72711																						
7.4648438	0.022369342	0.000603115	769.41528																						
7.494873	0.022410642	0.000601893	773.53113																						
7.5249023	0.022556838	0.000631616	775.59912																						
7.5549316	0.022553083	0.000634219	775.49725																						
7.5849609	0.02258312	0.000617258	779.55981																						
7.6149902	0.022738937	0.000641067	780.14557																						
7.6450195	0.022881143	0.000645381	782.88422																						
7.6750488	0.022921037	0.00063914	785.91699																						
7.7050781	0.0230968	0.000632989	789.36475																						
7.7351074	0.023098208	0.000623318	793.94043																						
7.7651367	0.02320146	0.000676638	794.15466																						
7.795166	0.023336392	0.000667351	797.22382																						
7.8251953	0.023438001	0.000643089	800.44714																						
7.8552246	0.023505585	0.000673562	802.47339																						
7.8852539	0.023546182	0.000677276	805.4881																						
7.9152832	0.023570821	0.00066746	809.0083																						
7.9453125	0.023746584	0.0006903	811.09222																						
7.9753418	0.023866262	0.00064612	813.71088																						
8.0053711	0.023845144	0.0007009	813.12384																						
8.0354004	0.024038507	0.000699619	818.49426																						
8.0654297	0.024038507	0.000687389	819.03705																						
8.095459	0.024194557	0.000688472	823.52637																						
8.1254883	0.024345916	0.000694857	826.42981																						
8.1555176	0.02445527	0.00070632	827.46826																						
8.1855469	0.024443772	0.000696668	831.10974																						
8.2155762	0.024531536	0.000707409	832.56805																						
8.2456055	0.024667406	0.000711919	835.81287																						
8.2756348	0.024747426	0.000737842	841.41016																						
8.3056641	0.024874145	0.000722008	842.30457																						
8.3356934	0.024870625	0.000721331	845.51825																						
8.3657227	0.024987487	0.000750897	846.44769																						
8.395752	0.02505601	0.000735744	849.34467																						
8.4257813	0.025222855	0.000747905	852.81018																						
8.4558105	0.025187187	0.000752938	854.5412																						
8.4858398	0.025300529	0.000759036	857.84174																						
8.5158691	0.025391344	0.000729891	862.45166																						
8.5458984	0.025553966	0.000750056	863.86316																						
8.5759277	0.025680216	0.000763257	866.59198																						
8.605957	0.025743574	0.000752526	869.97583																						
8.6359863	0.02584753	0.000762404	871.36499																						
8.6660156	0.025803648	0.000805253	873.00806																						
8.6960449	0.026061544	0.000778362	877.19189																						
8.7260742	0.026079144	0.000767154	878.24335																						
8.7561035	0.026177468	0.000786501	883.24744																						
8.7861328	0.026291281	0.000778475	884.10309																						
8.8161621	0.026334459	0.000777961	884.13416																						
8.8461914	0.026482062	0.000833774	888.14697																						
8.8762207	0.026608076	0.000806266	889.33539																						
8.90625	0.02659869	0.000786192	893.37823																						
8.9362793	0.026762955	0.000804397	895.01282																						
8.9663086	0.02684579	0.000812858	901.31207																						
8.9963379	0.026919475	0.000801323	900.67383																						
9.0263672	0.026942942	0.000816834	902.86835																						
9.0563965	0.027022025	0.000820345	908.49097																						
9.0864258	0.027190043	0.000829521	910.03839																						
9.1164551	0.027183708	0.000844353	910.51874																						
9.1464844	0.027332015	0.000835372	915.57959																						
9.1765137	0.027489709	0.000855292	920.3952																						
9.206543	0.027572546	0.000837354	920.98877																						
9.2365723	0.027656555	0.000848191	924.76172																						
9.2666016	0.027622998	0.000872585	924.21167																						
9.2966309	0.02776544	0.00088352	927.74884																						
9.3266602	0.027879721	0.00088596	928.51306																						
9.3566895	0.028046567	0.000856163	935.44208																						
9.3867188	0.028127056	0.000843483	935.53479																						
9.416748	0.02813128	0.000875347	939.76868																						
9.4467773	0.028240399	0.000902921	940.90656																						
9.4768066	0.028287098	0.000899448	941.65082																						
9.5068359	0.028439863	0.000870606	945.8252																						
9.5368652	0.028462391	0.00089724	949.12958																						
9.5668945	0.028557666	0.000923556	950.88843																						
9.5969238	0.028789748	0.000906819	955.44434																						
9.6269531	0.028747274	0.000916204	956.92035																						
9.6569824	0.028846066	0.000907371	959.37775																						
9.6870117	0.028955186	0.000910511	959.18445																						
9.717041	0.029017137	0.000928069	963.97699																						
