MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495"", Thicko=0.124"""			Time:	150.17358	Sec	11/9/2011 15:22																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
3.6491699	0.010476103	0.000347961	509.53857																						
3.6791992	0.01049957	0.000375598	511.4884																						
3.7092285	0.010598832	0.000375877	515.20172																						
3.7392578	0.01067064	0.000386508	516.47931																						
3.7692871	0.01079947	0.000363392	523.58221																						
3.7993164	0.010828099	0.000367329	523.40924																						
3.8293457	0.010955052	0.000363767	526.77716																						
3.859375	0.011146538	0.000395972	530.01654																						
3.8894043	0.011060416	0.000392689	531.94598																						
3.9194336	0.01121154	0.000372219	534.69373																						
3.9494629	0.011377917	0.000403192	539.21149																						
3.9794922	0.01142485	0.000380926	541.09857																						
4.0095215	0.011455355	0.000385868	545.84692																						
4.0395508	0.01158841	0.000398174	545.38287																						
4.0695801	0.011612815	0.000388827	547.05383																						
4.0996094	0.01173484	0.000400302	549.89398																						
4.1296387	0.011867425	0.000428859	556.01257																						
4.159668	0.011987808	0.000386931	557.9118																						
4.1896973	0.012006347	0.000422057	558.57208																						
4.2197266	0.012150665	0.000431695	560.90338																						
4.2497559	0.012232563	0.000406565	565.3006																						
4.2797852	0.012270578	0.000435792	567.23724																						
4.3098145	0.012395654	0.000425174	568.55682																						
4.3398438	0.012514394	0.000396837	569.67145																						
4.369873	0.012510405	0.000399214	571.73962																						
4.3999023	0.012700717	0.000422904	575.8407																						
4.4299316	0.012734978	0.000417571	578.39441																						
4.4599609	0.012847383	0.000409941	580.79163																						
4.4899902	0.012899009	0.000417031	583.57214																						
4.5200195	0.013007892	0.000436235	584.09161																						
4.5500488	0.013099177	0.000431565	587.02258																						
4.5800781	0.013199847	0.000443934	590.02698																						
4.6101074	0.013273297	0.000456647	593.47034																						
4.6401367	0.01337256	0.00042026	595.97498																						
4.670166	0.013370448	0.000440612	595.79102																						
4.7001953	0.013518522	0.000436082	599.10358																						
4.7302246	0.013613091	0.00043542	599.57025																						
4.7602539	0.013791905	0.000449005	603.52026																						
4.7902832	0.013874976	0.00044973	607.80548																						
4.8203125	0.013970484	0.000462838	608.5174																						
4.8503418	0.013998643	0.000463739	612.09735																						
4.8803711	0.014107528	0.000472955	615.48309																						
4.9104004	0.014211954	0.000445868	615.40662																						
4.9404297	0.014306758	0.000485913	619.33319																						
4.970459	0.014368474	0.00045851	620.87909																						
5.0004883	0.014451075	0.000460237	621.75336																						
5.0305176	0.014573805	0.000479504	624.92706																						
5.0605469	0.014632236	0.000491367	628.69257																						
5.0905762	0.014696534	0.000456665	632.6228																						
5.1206055	0.014846484	0.000494745	631.45947																						
5.1506348	0.014948329	0.000490117	637.19708																						
5.1806641	0.015016382	0.000493213	639.021																						
5.2106934	0.01517384	0.000484696	641.75061																						
5.2407227	0.015328015	0.000506498	644.79065																						
5.270752	0.015303375	0.000492429	646.89844																						
5.3007813	0.015454734	0.000487879	646.41833																						
5.3308105	0.015521848	0.000521529	650.38245																						
5.3608398	0.015633548	0.000513103	653.48914																						
5.3908691	0.015731167	0.000498281	654.88501																						
5.4208984	0.015604215	0.000513299	656.32422																						
5.4509277	0.015867742	0.000523674	660.57678																						
5.480957	0.016001735	0.000510313	664.89734																						
5.5109863	0.016016519	0.000506918	665.39276																						
5.5410156	0.016037639	0.000531435	670.77454																						
5.5710449	0.016148634	0.000530143	672.20502																						
5.6010742	0.01631947	0.000517959	672.44818																						
5.6311035	0.016444076	0.000549227	675.84937																						
5.6611328	0.016406765	0.000545826	677.22168																						
5.6911621	0.016514007	0.000545173	680.21375																						
5.7211914	0.016609045	0.000535216	682.73108																						
5.7512207	0.016734121	0.000563258	683.73035																						
5.78125	0.01678082	0.000550678	687.63397																						
5.8112793	0.016918333	0.00056929	689.99994																						
5.8413086	0.017048571	0.000571413	695.08014																						
5.8713379	0.017022524	0.000571162	695.27228																						
5.9013672	0.017149476	0.000559506	699.2171																						
